name,1,2,3,4,5,6,7,8,9,10,11,beforeGold Coast,beforeBells Beach,beforeRio Pro,beforeBali Pro,beforeMargaret River,beforeJ-Bay Open,beforeTahiti,beforeSurf Ranch Pro,beforeFrance,beforePeniche Pro,beforePipe Masters,endOfSeason
Oney Anwar,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420,420,420,420,420
Owen Wright,4745,4745,420,1665,3700,1665,7800,4745,420,6085,420,0,4745,9490,9910,11575,15275,16940,24740,29485,29905,35990,35570
Patrick Gudauskas,420,6085,420,420,420,420,420,1665,3700,1665,420,0,420,6505,6925,7345,7765,8185,8605,10270,13970,15635,15215
Ryan Callinan,0,0,0,0,0,0,0,0,7800,1665,3700,0,0,0,0,0,0,0,0,0,7800,9465,13165
Samuel Pupo,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420
Sebastian Zietz,420,1665,3700,420,1665,4745,420,4745,4745,420,4745,0,420,2085,5785,6205,7870,12615,13035,17780,22525,22945,26850
Seth Moniz,0,0,0,0,0,0,0,0,0,0,1665,0,0,0,0,0,0,0,0,0,0,0,1665
Tikanui Smith,0,0,0,0,0,0,1665,0,0,0,0,0,0,0,0,0,0,0,1665,1665,1665,1665,1665
Tomas Hermes,6085,420,1665,1665,420,1665,420,1665,420,1665,420,0,6085,6505,8170,9835,10255,11920,12340,14005,14425,16090,15670
Vasco Ribeiro,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420
Wade Carmichael,1665,3700,7800,420,420,7800,4745,420,420,3700,1665,0,1665,5365,13165,13585,14005,21805,26550,26970,27390,31090,31915
Wiggolly Dantas,0,0,420,0,0,1665,1665,420,1665,420,0,0,0,0,420,420,420,2085,3750,4170,5835,6255,6255
Willian Cardoso,1665,1665,1665,4745,10000,1665,420,420,3700,1665,420,0,1665,3330,4995,9740,19740,21405,21825,22245,25945,27610,27190
Yago Dora,420,420,4745,420,1665,1665,3700,3700,1665,420,4745,0,420,840,5585,6005,7670,9335,13035,16735,18400,18820,22725
