name,1,2,3,4,5,6,7,8,9,10,11,beforeGold Coast,beforeBells Beach,beforeBali Pro,beforeMargaret River,beforeRio Pro,beforeJ-Bay Open,beforeTahiti,beforeSurf Ranch Pro,beforeFrance,beforePeniche Pro,beforePipe Masters,endOfSeason
Mikey Wright,3320,1330,1330,265,265,265,265,265,265,265,265,0,3320,4650,5980,6245,6510,6775,7040,7305,7570,7835,7570
Owen Wright,3320,3320,1330,3320,1330,4745,10000,6085,1330,1330,1330,0,3320,6640,7970,11290,12620,17365,27365,33450,34780,36110,34780
Peterson Crisanto,1330,3320,1330,3320,265,3320,1330,265,1330,4745,3320,0,1330,4650,5980,9300,9565,12885,14215,14480,15810,20555,23345
Reef Heazlewood,3320,1330,0,0,0,0,0,0,0,0,0,0,3320,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650
Ricardo Christie,1330,1330,1330,1330,1330,1330,1330,1330,265,265,3320,0,1330,2660,3990,5320,6650,7980,9310,10640,10905,11170,13960
Rio Waida,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,1330,1330,1330,1330,1330,1330,1330,1330,1330
Ryan Callinan,1330,6085,3320,4745,1330,3320,1330,1330,4745,265,1330,0,1330,7415,10735,15480,16810,20130,21460,22790,27535,27800,27535
Sebastian Zietz,1330,265,265,3320,1330,4745,1330,3320,265,1330,1330,0,1330,1595,1860,5180,6510,11255,12585,15905,16170,17500,18300
Seth Moniz,4745,3320,1330,4745,1330,1330,6085,1330,3320,265,3320,0,4745,8065,9395,14140,15470,16800,22885,24215,27535,27800,29525
Soli Bailey,1330,1330,265,1330,1330,1330,1330,1330,1330,3320,3320,0,1330,2660,2925,4255,5585,6915,8245,9575,10905,14225,15950
Tyler Newton,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,265,265,265,265,265
Vasco Ribeiro,0,0,0,0,0,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,1330,1330
Wade Carmichael,4745,1330,4745,265,3320,1330,1330,3320,3320,3320,1330,0,4745,6075,10820,11085,14405,15735,17065,20385,23705,27025,26760
Willian Cardoso,3320,3320,1330,1330,1330,3320,1330,3320,1330,1330,1330,0,3320,6640,7970,9300,10630,13950,15280,18600,19930,21260,19930
Xavier Huxtable,0,265,0,0,0,0,0,0,0,0,0,0,0,265,265,265,265,265,265,265,265,265,265
Yago Dora,3320,1330,1330,1330,1330,1330,1330,4745,3320,1330,4745,0,3320,4650,5980,7310,8640,9970,11300,16045,19365,20695,22780
